External_Id__c,Name,Assigned_To__r.Username,Status__c,Start_Date__c,Finish_Date__c,Team_Release_Plan__r.External_Id__c
KTGA-0001,Final Release Features and Positioning,jnelson@relreaditesting.com,Planned,2022-05-16,2022-05-31,TRP-0008
KTGA-0002,Training AEs on what's available for trial,jnelson@relreaditesting.com,Planned,2022-08-15,2022-08-16,TRP-0002
KTGA-0003,Create Consensus Videos,jnelson@relreaditesting.com,Planned,2022-08-17,2022-08-19,TRP-0002
KTGA-0004,PLMs/POs to Lead June Pre-Release Internal Cohorts,jnelson@relreaditesting.com,Planned,2022-06-13,2022-06-17,TRP-0001
KTGA-0005,July Draft Versions of Documentation,jnelson@relreaditesting.com,Planned,2022-06-20,2022-07-15,TRP-0011
KTGA-0006,"Community - Upgrade Page: Rename Tab, Link, Install Page",jnelson@relreaditesting.com,Planned,2022-08-26,2022-09-01,TRP-0007
KTGA-0007,Community - Release Topics for Discussion Group,jnelson@relreaditesting.com,Planned,2022-08-26,2022-09-01,TRP-0007
KTGA-0008,Academy - Fall 22 Highlights Module,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-26,TRP-0007
KTGA-0009,Implementation & PAs - Attend Final Post-Release Internal Cohorts,jnelson@relreaditesting.com,Planned,2022-09-05,2022-09-16,TRP-0015
KTGA-0010,"Certs - Maintenance Fundamentals I, Fundamentals II and Consultant Certs",jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-26,TRP-0007
KTGA-0011,"Update Loopio / Security Questionnaire answer bank, if needed, for new Features",jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-26,TRP-0004
KTGA-0012,Community - Release Promo at Community Events,jnelson@relreaditesting.com,Planned,2022-08-26,2022-09-01,TRP-0007
KTGA-0013,PMMs - Attend July G.A. Internal Cohort - CRT Integration for Copado Classic,jnelson@relreaditesting.com,Planned,2022-07-05,2022-07-13,TRP-0008
KTGA-0014,Release Accelerate Session #1,jnelson@relreaditesting.com,Planned,2022-08-02,2022-08-02,TRP-0012
KTGA-0015,Release Accelerate Session #3,jnelson@relreaditesting.com,Planned,2022-08-16,2022-08-16,TRP-0012
KTGA-0016,Update Partner Onboarding Capacity Model,jnelson@relreaditesting.com,Planned,2022-08-01,2022-09-09,TRP-0013
KTGA-0017,"TED Training - Pricing, Ordering, Legal, Procurement",jnelson@relreaditesting.com,Planned,2022-08-15,2022-08-19,TRP-0012
KTGA-0018,Internal Certification Test Ready,jnelson@relreaditesting.com,Planned,2022-08-15,2022-08-19,TRP-0012
KTGA-0019,PMMs - Attend May Pre-Release Internal Cohorts,jnelson@relreaditesting.com,Planned,2022-05-16,2022-05-20,TRP-0012
KTGA-0020,PMMs - Attend July Internal Release Readiness Cohorts,jnelson@relreaditesting.com,Planned,2022-07-18,2022-07-29,TRP-0012
KTGA-0021,PMMs - Attend June Pre-Release Internal Cohorts,jnelson@relreaditesting.com,Planned,2022-06-13,2022-06-17,TRP-0012
KTGA-0022,Update Partner Enablement Webinars for Key Features,jnelson@relreaditesting.com,Planned,2022-08-01,2022-09-02,TRP-0013
KTGA-0023,Update prospective partner signup form for website,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-26,TRP-0013
KTGA-0024,Qualification Questions for prospective consulting partners,jnelson@relreaditesting.com,Planned,2022-08-01,2022-09-02,TRP-0013
KTGA-0025,Update Partner Enablement Plan,jnelson@relreaditesting.com,Planned,2022-08-01,2022-09-09,TRP-0013
KTGA-0026,Partner Newsletter,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-26,TRP-0013
KTGA-0027,Consulting Partner Prospect First Call Deck,jnelson@relreaditesting.com,Planned,2022-08-01,2022-09-02,TRP-0013
KTGA-0028,Update Partner Influence Attribution Process/Model,jnelson@relreaditesting.com,Planned,2022-08-01,2022-09-02,TRP-0013
KTGA-0029,Release Notes - Copado Classic,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-26,TRP-0011
KTGA-0030,Upgrade Instructions - Copado CI/CD,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-26,TRP-0011
KTGA-0031,Release Notes - Copado Multi Cloud,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-26,TRP-0011
KTGA-0032,CTWs - Attend July Internal Release Readiness Cohorts,jnelson@relreaditesting.com,Planned,2022-07-18,2022-07-29,TRP-0011
KTGA-0033,Early release: Individual Demo Environment Updates,jnelson@relreaditesting.com,Planned,2022-06-20,2022-07-15,TRP-0002
KTGA-0034,Early release: Shared Demo Environment Updates,jnelson@relreaditesting.com,Planned,2022-06-20,2022-07-15,TRP-0002
KTGA-0035,SEs - Attend June Pre-Release Internal Cohorts,jnelson@relreaditesting.com,Planned,2022-06-13,2022-06-17,TRP-0002
KTGA-0036,SEs - Attend May Pre-Release Internal Cohorts,jnelson@relreaditesting.com,Planned,2022-05-16,2022-05-20,TRP-0002
KTGA-0037,SEs - Attend July Internal Release Readiness Cohorts,jnelson@relreaditesting.com,Planned,2022-07-18,2022-07-29,TRP-0002
KTGA-0038,CTWs - Attend June Pre-Release Internal Cohorts,jnelson@relreaditesting.com,Planned,2022-06-13,2022-06-17,TRP-0011
KTGA-0039,Release Accelerate Session #2,jnelson@relreaditesting.com,Planned,2022-08-09,2022-08-09,TRP-0012
KTGA-0040,PLMs/POs to Lead Release Readiness Internal Cohorts,jnelson@relreaditesting.com,Planned,2022-07-18,2022-07-29,TRP-0001
KTGA-0041,Training on the Upgrade Process for CS Team,jnelson@relreaditesting.com,Planned,2022-08-08,2022-08-12,TRP-0014
KTGA-0042,Academy - How To Videos,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-26,TRP-0007
KTGA-0043,Deliver Analyst Briefings,jnelson@relreaditesting.com,Planned,2022-08-22,2022-08-24,TRP-0006
KTGA-0044,AE/BDR Value Prop release training and certification,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-12,TRP-0002
KTGA-0045,SE Value Prop release training and certification,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-12,TRP-0002
KTGA-0046,Feature Freeze,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-12,TRP-0001
KTGA-0047,G.A. Release,jnelson@relreaditesting.com,Planned,2022-09-01,2022-09-01,TRP-0001
KTGA-0048,Talk track and/or process on qualifying customer fit for new features,jnelson@relreaditesting.com,Planned,2022-08-01,2022-08-05,TRP-0014
KTGA-0049,Beta Version Ready for Demos and July Internal Release Readiness Cohorts,jnelson@relreaditesting.com,Planned,2022-07-14,2022-07-14,TRP-0001
KTGA-0050,Existing Customers Upgrade Campaign - Outbound,jnelson@relreaditesting.com,Planned,2022-09-05,2022-09-23,TRP-0014
KTGA-0051,CRT Integration for Copado Classic goes G.A.,jnelson@relreaditesting.com,Planned,2022-07-15,2022-07-15,TRP-0001
